name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	1367713	1817	1369530	0.96931
Acidovorax sp. KKS102	358220	S	181	92	273	0.00019
Acidovorax sp. 1608163	2478662	S	71	10	81	0.00006
Acidovorax sp. JMULE5	2518343	S	70	13	83	0.00006
Acidovorax sp. T1	1858609	S	61	158	219	0.00016
Acidovorax sp. RAC01	1842533	S	47	21	68	0.00005
Acidovorax sp. HDW3	2714923	S	37	10	47	0.00003
Acidovorax sp. JS42	232721	S	3	67	70	0.00005
Acidovorax carolinensis	553814	S	90	71	161	0.00011
Acidovorax avenae	80867	S	41	21	62	0.00004
Acidovorax monticola	1926868	S	28	7	35	0.00002
Acidovorax antarcticus	2743470	S	24	12	36	0.00003
Acidovorax cattleyae	80868	S	15	9	24	0.00002
Acidovorax citrulli	80869	S	8	7	15	0.00001
Acidovorax ebreus	721785	S	5	62	67	0.00005
Rhodoferax sp. AJA081-3	2752316	S	89	6	95	0.00007
Rhodoferax sp. BAB1	2741720	S	43	9	52	0.00004
Rhodoferax sp. PAMC29310	2822760	S	43	7	50	0.00004
Rhodoferax saidenbachensis	1484693	S	111	13	124	0.00009
Rhodoferax sediminis	2509614	S	78	9	87	0.00006
Rhodoferax ferrireducens	192843	S	59	4	63	0.00004
Rhodoferax koreense	1842727	S	59	34	93	0.00007
Rhodoferax antarcticus	81479	S	38	3	41	0.00003
Variovorax sp. PAMC26660	2762322	S	37	8	45	0.00003
Variovorax sp. PAMC 28711	1795631	S	36	3	39	0.00003
Variovorax sp. RKNM96	2681552	S	27	11	38	0.00003
Variovorax sp. PBS-H4	434008	S	22	10	32	0.00002
Variovorax sp. HW608	1034889	S	22	2	24	0.00002
Variovorax sp. WDL1	207745	S	14	15	29	0.00002
Variovorax sp. PAMC28562	2762323	S	13	0	13	0.00001
Variovorax sp. RA8	662548	S	13	10	23	0.00002
Variovorax sp. SRS16	282217	S	12	24	36	0.00003
Variovorax sp. 38R	2774875	S	11	16	27	0.00002
Variovorax sp. PBL-E5	434014	S	7	17	24	0.00002
Variovorax sp. PBL-H6	434009	S	7	8	15	0.00001
Variovorax sp. PDNC026	2811425	S	2	60	62	0.00004
Variovorax paradoxus	34073	S	131	60	191	0.00014
Variovorax boronicumulans	436515	S	14	15	29	0.00002
Hydrogenophaga sp. BA0156	2716225	S	49	26	75	0.00005
Hydrogenophaga sp. PBL-H3	434010	S	45	41	86	0.00006
Hydrogenophaga sp. BPS33	2651974	S	39	20	59	0.00004
Hydrogenophaga sp. RAC07	1842537	S	35	10	45	0.00003
Hydrogenophaga sp. PAMC20947	2565558	S	30	1	31	0.00002
Hydrogenophaga sp. PBC	795665	S	25	15	40	0.00003
Hydrogenophaga sp. YM1	2806262	S	20	7	27	0.00002
Hydrogenophaga sp. NH-16	2184519	S	10	22	32	0.00002
Hydrogenophaga crassostreae	1763535	S	22	0	22	0.00002
Hydrogenophaga pseudoflava	47421	S	17	28	45	0.00003
Comamonas testosteroni	285	S	51	67	118	0.00008
Comamonas kerstersii	225992	S	40	11	51	0.00004
Comamonas piscis	1562974	S	38	4	42	0.00003
Comamonas aquatica	225991	S	36	12	48	0.00003
Comamonas koreensis	160825	S	28	6	34	0.00002
Comamonas serinivorans	1082851	S	19	3	22	0.00002
Comamonas sp. NLF-7-7	2597701	S	14	5	19	0.00001
Comamonas thiooxydans	363952	S	9	9	18	0.00001
Limnohabitans sp. 63ED37-2	1678128	S	111	11	122	0.00009
Limnohabitans sp. 103DPR2	1678129	S	99	7	106	0.00008
Polaromonas sp. JS666	296591	S	28	7	35	0.00002
Polaromonas sp. H8N	1840297	S	3	47	50	0.00004
Polaromonas naphthalenivorans	216465	S	83	11	94	0.00007
Polaromonas vacuolata	37448	S	22	3	25	0.00002
Curvibacter sp. AEP1-3	1844971	S	184	9	193	0.00014
Ottowia oryzae	2109914	S	94	11	105	0.00007
Ottowia sp. 27C	2816950	S	40	3	43	0.00003
Ottowia sp. oral taxon 894	1658672	S	12	0	12	0.00001
Diaphorobacter sp. HDW4B	2714925	S	27	2	29	0.00002
Diaphorobacter sp. HDW4A	2714924	S	20	16	36	0.00003
Diaphorobacter sp. JS3050	2735554	S	6	136	142	0.00010
Diaphorobacter sp. JS3051	2792224	S	6	132	138	0.00010
Diaphorobacter aerolatus	1288495	S	37	50	87	0.00006
Diaphorobacter ruginosibacter	1715720	S	19	2	21	0.00001
Diaphorobacter polyhydroxybutyrativorans	1546149	S	2	16	18	0.00001
Delftia acidovorans	80866	S	11	23	34	0.00002
Delftia lacustris	558537	S	4	26	30	0.00002
Delftia tsuruhatensis	180282	S	3	14	17	0.00001
Delftia sp. Cs1-4	742013	S	2	5	7	0.00000
Delftia sp. HK171	1920191	S	1	3	4	0.00000
Kinneretia sp. DAIF2	2714952	S	59	15	74	0.00005
Serpentinomonas raichei	1458425	S	24	4	28	0.00002
Serpentinomonas mccroryi	1458426	S	19	3	22	0.00002
Ramlibacter tataouinensis	94132	S	45	7	52	0.00004
Simplicispira suum	2109915	S	45	13	58	0.00004
Verminephrobacter eiseniae	364317	S	43	2	45	0.00003
Schlegelella thermodepolymerans	215580	S	37	12	49	0.00003
Alicycliphilus denitrificans	179636	S	30	47	77	0.00005
Melaminivora sp. SC2-9	2109913	S	26	14	40	0.00003
Hylemonella gracilis	80880	S	24	2	26	0.00002
Pulveribacter suum	2116657	S	13	3	16	0.00001
Candidatus Symbiobacter mobilis	1436290	S	12	0	12	0.00001
Polynucleobacter necessarius	576610	S	157	13	170	0.00012
Polynucleobacter duraquae	1835254	S	93	14	107	0.00008
Polynucleobacter asymbioticus	576611	S	31	4	35	0.00002
Polynucleobacter paneuropaeus	2527775	S	22	2	24	0.00002
Polynucleobacter wuianus	1743168	S	20	6	26	0.00002
Polynucleobacter sp. LimPoW16	1743162	S	12	0	12	0.00001
Polynucleobacter sp. MWH-UH21B	1743174	S	4	0	4	0.00000
Polynucleobacter difficilis	556054	S	13	0	13	0.00001
Polynucleobacter acidiphobus	556053	S	7	0	7	0.00000
Cupriavidus taiwanensis	164546	S	36	14	50	0.00004
Cupriavidus necator	106590	S	23	6	29	0.00002
Cupriavidus metallidurans	119219	S	22	21	43	0.00003
Cupriavidus basilensis	68895	S	21	12	33	0.00002
Cupriavidus pauculus	82633	S	14	3	17	0.00001
Cupriavidus campinensis	151783	S	12	4	16	0.00001
Cupriavidus pinatubonensis	248026	S	8	4	12	0.00001
Cupriavidus oxalaticus	96344	S	6	2	8	0.00001
Cupriavidus malaysiensis	367825	S	4	15	19	0.00001
Cupriavidus nantongensis	1796606	S	3	5	8	0.00001
Cupriavidus sp. USMAA2-4	876364	S	3	13	16	0.00001
Cupriavidus gilardii	82541	S	1	3	4	0.00000
Cupriavidus neocaledonicus	1040979	S	1	0	1	0.00000
Burkholderia cenocepacia	95486	S	6	14	20	0.00001
Burkholderia ubonensis	101571	S	6	14	20	0.00001
Burkholderia stabilis	95485	S	5	4	9	0.00001
Burkholderia cepacia	292	S	5	7	12	0.00001
Burkholderia vietnamiensis	60552	S	4	21	25	0.00002
Burkholderia lata	482957	S	4	3	7	0.00000
Burkholderia contaminans	488447	S	4	3	7	0.00000
Burkholderia multivorans	87883	S	3	1	4	0.00000
Burkholderia ambifaria	152480	S	3	8	11	0.00001
Burkholderia anthina	179879	S	1	1	2	0.00000
Burkholderia territorii	1503055	S	1	0	1	0.00000
Burkholderia stagnalis	1503054	S	1	0	1	0.00000
Burkholderia pseudomultivorans	1207504	S	1	1	2	0.00000
Burkholderia diffusa	488732	S	1	0	1	0.00000
Burkholderia latens	488446	S	1	3	4	0.00000
Burkholderia pyrrocinia	60550	S	1	0	1	0.00000
Burkholderia sp. THE68	758782	S	5	0	5	0.00000
Burkholderia sp. CCGE1003	640512	S	4	1	5	0.00000
Burkholderia sp. DHOD12	2571746	S	4	0	4	0.00000
Burkholderia sp. MS389	2811789	S	2	1	3	0.00000
Burkholderia sp. MSMB0856	1637869	S	2	1	3	0.00000
Burkholderia sp. PAMC 28687	1795874	S	2	1	3	0.00000
Burkholderia sp. PAMC 26561	1795043	S	2	0	2	0.00000
Burkholderia sp. Bp7605	1740163	S	2	0	2	0.00000
Burkholderia sp. KBS0801	1179675	S	1	3	4	0.00000
Burkholderia pseudomallei	28450	S	8	9	17	0.00001
Burkholderia thailandensis	57975	S	2	0	2	0.00000
Burkholderia oklahomensis	342113	S	2	0	2	0.00000
Burkholderia sp. BDU6	1385591	S	1	0	1	0.00000
Burkholderia sp. BDU8	1385592	S	1	0	1	0.00000
Burkholderia sp. MSMB617WGS	1637831	S	1	2	3	0.00000
Burkholderia glumae	337	S	11	9	20	0.00001
Burkholderia gladioli	28095	S	6	1	7	0.00000
Burkholderia plantarii	41899	S	4	0	4	0.00000
Paraburkholderia sp. SOS3	1926494	S	20	1	21	0.00001
Paraburkholderia sp. 7MH5	2547399	S	3	0	3	0.00000
Paraburkholderia sp. PGU16	2735433	S	3	1	4	0.00000
Paraburkholderia phytofirmans	261302	S	9	4	13	0.00001
Paraburkholderia graminis	60548	S	7	2	9	0.00001
Paraburkholderia megapolitana	420953	S	7	0	7	0.00000
Paraburkholderia phymatum	148447	S	7	2	9	0.00001
Paraburkholderia fungorum	134537	S	7	2	9	0.00001
Paraburkholderia caledonica	134536	S	7	1	8	0.00001
Paraburkholderia caribensis	75105	S	6	4	10	0.00001
Paraburkholderia aromaticivorans	2026199	S	6	3	9	0.00001
Paraburkholderia xenovorans	36873	S	4	5	9	0.00001
Paraburkholderia terricola	169427	S	3	0	3	0.00000
Paraburkholderia dokdonella	2211211	S	3	0	3	0.00000
Paraburkholderia tropica	92647	S	2	0	2	0.00000
Paraburkholderia acidisoli	2571748	S	2	0	2	0.00000
Paraburkholderia acidiphila	2571747	S	2	0	2	0.00000
Paraburkholderia sprentiae	948107	S	2	0	2	0.00000
Paraburkholderia caffeinilytica	1761016	S	2	0	2	0.00000
Paraburkholderia atlantica	2654982	S	1	0	1	0.00000
Paraburkholderia ginsengisoli	311231	S	1	0	1	0.00000
Paraburkholderia phenoliruptrix	252970	S	1	0	1	0.00000
Ralstonia solanacearum	305	S	29	28	57	0.00004
Ralstonia insidiosa	190721	S	14	6	20	0.00001
Ralstonia mannitolilytica	105219	S	8	7	15	0.00001
Ralstonia pickettii	329	S	5	3	8	0.00001
Pandoraea thiooxydans	445709	S	13	0	13	0.00001
Pandoraea pulmonicola	93221	S	7	2	9	0.00001
Pandoraea vervacti	656178	S	4	2	6	0.00000
Pandoraea fibrosis	1891094	S	4	2	6	0.00000
Pandoraea norimbergensis	93219	S	3	0	3	0.00000
Pandoraea apista	93218	S	2	1	3	0.00000
Pandoraea sp. XY-2	2518599	S	2	0	2	0.00000
Pandoraea pnomenusa	93220	S	1	0	1	0.00000
Pandoraea faecigallinarum	656179	S	1	0	1	0.00000
Lautropia mirabilis	47671	S	10	1	11	0.00001
Caballeronia sp. M1242	2814653	S	5	0	5	0.00000
Caballeronia sp. SBC1	2705548	S	2	3	5	0.00000
Caballeronia insecticola	758793	S	1	0	1	0.00000
Ephemeroptericola cinctiostellae	2268024	S	10	0	10	0.00001
Chitinimonas arctica	2594795	S	6	0	6	0.00000
Limnobacter sp. SAORIC-580	2732163	S	5	0	5	0.00000
Mycetohabitans rhizoxinica	412963	S	4	0	4	0.00000
Massilia sp. CCM 8941	2765360	S	39	19	58	0.00004
Massilia sp. NR 4-1	1678028	S	35	9	44	0.00003
Massilia sp. LPB0304	2769491	S	20	11	31	0.00002
Massilia sp. WG5	1707785	S	18	14	32	0.00002
Massilia sp. YMA4	1593482	S	11	9	20	0.00001
Massilia violaceinigra	2045208	S	40	17	57	0.00004
Massilia putida	1141883	S	21	10	31	0.00002
Massilia lutea	321985	S	18	7	25	0.00002
Massilia albidiflava	321983	S	15	8	23	0.00002
Massilia flava	871742	S	14	3	17	0.00001
Massilia armeniaca	2072590	S	14	11	25	0.00002
Massilia plicata	321984	S	13	4	17	0.00001
Massilia oculi	945844	S	13	3	16	0.00001
Massilia umbonata	864828	S	7	3	10	0.00001
Janthinobacterium sp. 1_2014MBL_MicDiv	1644131	S	22	6	28	0.00002
Janthinobacterium sp. 17J80-10	2497863	S	18	2	20	0.00001
Janthinobacterium sp. LM6	1938606	S	9	4	13	0.00001
Janthinobacterium sp. Marseille	375286	S	8	2	10	0.00001
Janthinobacterium sp. HH102	1537274	S	8	14	22	0.00002
Janthinobacterium sp. PLB02	2808899	S	7	12	19	0.00001
Janthinobacterium sp. B9-8	1236179	S	1	0	1	0.00000
Janthinobacterium tructae	2590869	S	31	15	46	0.00003
