name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	154428676	26580	154455256	0.99973
Variovorax sp. PAMC26660	2762322	S	84	10	94	0.00000
Variovorax sp. 38R	2774875	S	67	47	114	0.00000
Variovorax sp. PAMC 28711	1795631	S	59	3	62	0.00000
Variovorax sp. PAMC28562	2762323	S	41	1	42	0.00000
Variovorax sp. HW608	1034889	S	37	2	39	0.00000
Variovorax sp. WDL1	207745	S	30	35	65	0.00000
Variovorax sp. PBL-H6	434009	S	29	53	82	0.00000
Variovorax sp. PBS-H4	434008	S	24	8	32	0.00000
Variovorax sp. RKNM96	2681552	S	24	5	29	0.00000
Variovorax sp. RA8	662548	S	23	13	36	0.00000
Variovorax sp. PBL-E5	434014	S	12	53	65	0.00000
Variovorax sp. SRS16	282217	S	11	40	51	0.00000
Variovorax paradoxus	34073	S	201	42	243	0.00000
Variovorax boronicumulans	436515	S	181	86	267	0.00000
Acidovorax sp. KKS102	358220	S	199	50	249	0.00000
Acidovorax sp. JMULE5	2518343	S	179	20	199	0.00000
Acidovorax sp. T1	1858609	S	67	95	162	0.00000
Acidovorax sp. 1608163	2478662	S	54	4	58	0.00000
Acidovorax sp. RAC01	1842533	S	40	10	50	0.00000
Acidovorax sp. HDW3	2714923	S	19	2	21	0.00000
Acidovorax sp. JS42	232721	S	10	104	114	0.00000
Acidovorax carolinensis	553814	S	64	23	87	0.00000
Acidovorax avenae	80867	S	31	9	40	0.00000
Acidovorax antarcticus	2743470	S	23	4	27	0.00000
Acidovorax monticola	1926868	S	17	1	18	0.00000
Acidovorax citrulli	80869	S	16	8	24	0.00000
Acidovorax cattleyae	80868	S	5	1	6	0.00000
Acidovorax ebreus	721785	S	4	23	27	0.00000
Diaphorobacter sp. HDW4A	2714924	S	235	89	324	0.00000
Diaphorobacter sp. HDW4B	2714925	S	16	0	16	0.00000
Diaphorobacter sp. JS3050	2735554	S	5	54	59	0.00000
Diaphorobacter sp. JS3051	2792224	S	2	21	23	0.00000
Diaphorobacter aerolatus	1288495	S	62	34	96	0.00000
Diaphorobacter ruginosibacter	1715720	S	14	0	14	0.00000
Diaphorobacter polyhydroxybutyrativorans	1546149	S	6	23	29	0.00000
Rhodoferax sp. AJA081-3	2752316	S	52	2	54	0.00000
Rhodoferax sp. BAB1	2741720	S	29	3	32	0.00000
Rhodoferax sp. PAMC29310	2822760	S	13	1	14	0.00000
Rhodoferax koreense	1842727	S	63	22	85	0.00000
Rhodoferax sediminis	2509614	S	55	3	58	0.00000
Rhodoferax saidenbachensis	1484693	S	46	3	49	0.00000
Rhodoferax antarcticus	81479	S	24	1	25	0.00000
Rhodoferax ferrireducens	192843	S	21	0	21	0.00000
Hydrogenophaga sp. BPS33	2651974	S	46	16	62	0.00000
Hydrogenophaga sp. PBL-H3	434010	S	42	22	64	0.00000
Hydrogenophaga sp. BA0156	2716225	S	25	7	32	0.00000
Hydrogenophaga sp. NH-16	2184519	S	23	21	44	0.00000
Hydrogenophaga sp. RAC07	1842537	S	22	5	27	0.00000
Hydrogenophaga sp. YM1	2806262	S	21	4	25	0.00000
Hydrogenophaga sp. PBC	795665	S	19	6	25	0.00000
Hydrogenophaga sp. PAMC20947	2565558	S	13	0	13	0.00000
Hydrogenophaga crassostreae	1763535	S	20	0	20	0.00000
Hydrogenophaga pseudoflava	47421	S	14	8	22	0.00000
Comamonas testosteroni	285	S	43	25	68	0.00000
Comamonas aquatica	225991	S	41	6	47	0.00000
Comamonas kerstersii	225992	S	25	3	28	0.00000
Comamonas thiooxydans	363952	S	19	12	31	0.00000
Comamonas koreensis	160825	S	17	2	19	0.00000
Comamonas piscis	1562974	S	17	1	18	0.00000
Comamonas serinivorans	1082851	S	12	0	12	0.00000
Comamonas sp. NLF-7-7	2597701	S	4	0	4	0.00000
Ottowia oryzae	2109914	S	140	9	149	0.00000
Ottowia sp. 27C	2816950	S	23	1	24	0.00000
Ottowia sp. oral taxon 894	1658672	S	10	0	10	0.00000
Delftia acidovorans	80866	S	50	62	112	0.00000
Delftia tsuruhatensis	180282	S	12	32	44	0.00000
Delftia lacustris	558537	S	11	38	49	0.00000
Delftia sp. Cs1-4	742013	S	3	5	8	0.00000
Delftia sp. KV29	1170710	S	2	143	145	0.00000
Delftia sp. HK171	1920191	S	1	2	3	0.00000
Polaromonas sp. JS666	296591	S	28	1	29	0.00000
Polaromonas sp. H8N	1840297	S	4	2	6	0.00000
Polaromonas sp.	1869339	S	3	2	5	0.00000
Polaromonas sp. E3S	1840265	S	2	25	27	0.00000
Polaromonas sp. W9N	1840323	S	2	0	2	0.00000
Polaromonas sp. H6N	1840293	S	1	0	1	0.00000
Polaromonas naphthalenivorans	216465	S	35	3	38	0.00000
Polaromonas vacuolata	37448	S	3	0	3	0.00000
Kinneretia sp. DAIF2	2714952	S	91	8	99	0.00000
Limnohabitans sp. 63ED37-2	1678128	S	74	2	76	0.00000
Limnohabitans sp. 103DPR2	1678129	S	14	0	14	0.00000
Alicycliphilus denitrificans	179636	S	80	79	159	0.00000
Curvibacter sp. AEP1-3	1844971	S	53	1	54	0.00000
Ramlibacter tataouinensis	94132	S	48	3	51	0.00000
Schlegelella thermodepolymerans	215580	S	45	5	50	0.00000
Simplicispira suum	2109915	S	33	4	37	0.00000
Verminephrobacter eiseniae	364317	S	28	0	28	0.00000
Melaminivora sp. SC2-9	2109913	S	24	5	29	0.00000
Serpentinomonas raichei	1458425	S	10	1	11	0.00000
Serpentinomonas mccroryi	1458426	S	9	0	9	0.00000
Hylemonella gracilis	80880	S	15	0	15	0.00000
Pulveribacter suum	2116657	S	11	1	12	0.00000
Candidatus Symbiobacter mobilis	1436290	S	4	0	4	0.00000
Ralstonia solanacearum	305	S	612	76	688	0.00000
Ralstonia mannitolilytica	105219	S	21	5	26	0.00000
Ralstonia pickettii	329	S	15	3	18	0.00000
Ralstonia insidiosa	190721	S	10	1	11	0.00000
blood disease bacterium A2-HR MARDI	1944648	S	6	38	44	0.00000
Ralstonia syzygii	28097	S	2	4	6	0.00000
Ralstonia pseudosolanacearum	1310165	S	1	0	1	0.00000
Burkholderia multivorans	87883	S	18	4	22	0.00000
Burkholderia cepacia	292	S	11	8	19	0.00000
Burkholderia ubonensis	101571	S	9	8	17	0.00000
Burkholderia lata	482957	S	9	3	12	0.00000
Burkholderia cenocepacia	95486	S	8	10	18	0.00000
Burkholderia anthina	179879	S	7	5	12	0.00000
Burkholderia contaminans	488447	S	7	3	10	0.00000
Burkholderia vietnamiensis	60552	S	5	16	21	0.00000
Burkholderia stagnalis	1503054	S	5	1	6	0.00000
Burkholderia ambifaria	152480	S	5	4	9	0.00000
Burkholderia pyrrocinia	60550	S	4	1	5	0.00000
Burkholderia pseudomultivorans	1207504	S	4	3	7	0.00000
Burkholderia stabilis	95485	S	4	1	5	0.00000
Burkholderia latens	488446	S	2	3	5	0.00000
Burkholderia territorii	1503055	S	2	0	2	0.00000
Burkholderia diffusa	488732	S	1	0	1	0.00000
Burkholderia pseudomallei	28450	S	21	30	51	0.00000
Burkholderia sp. BDU8	1385592	S	4	0	4	0.00000
Burkholderia sp. MSMB0852	1637841	S	4	2	6	0.00000
Burkholderia thailandensis	57975	S	3	0	3	0.00000
Burkholderia oklahomensis	342113	S	1	0	1	0.00000
