name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	216935837	38377	216974214	0.99993
Ralstonia solanacearum	305	S	770	97	867	0.00000
Ralstonia pickettii	329	S	2	0	2	0.00000
Ralstonia mannitolilytica	105219	S	2	0	2	0.00000
Ralstonia insidiosa	190721	S	1	0	1	0.00000
Burkholderia multivorans	87883	S	8	1	9	0.00000
Burkholderia cepacia	292	S	5	1	6	0.00000
Burkholderia ambifaria	152480	S	5	2	7	0.00000
Burkholderia cenocepacia	95486	S	3	3	6	0.00000
Burkholderia contaminans	488447	S	3	1	4	0.00000
Burkholderia seminalis	488731	S	3	0	3	0.00000
Burkholderia vietnamiensis	60552	S	2	3	5	0.00000
Burkholderia anthina	179879	S	2	0	2	0.00000
Burkholderia stabilis	95485	S	1	0	1	0.00000
Burkholderia ubonensis	101571	S	1	0	1	0.00000
Burkholderia metallica	488729	S	1	0	1	0.00000
Burkholderia sp. IDO3	1705310	S	4	3	7	0.00000
Burkholderia sp. CCGE1003	640512	S	3	0	3	0.00000
Burkholderia sp. DHOD12	2571746	S	2	0	2	0.00000
Burkholderia sp. MS389	2811789	S	1	0	1	0.00000
Burkholderia sp. KK1	1855726	S	1	0	1	0.00000
Burkholderia sp. Bp7605	1740163	S	1	0	1	0.00000
Burkholderia sp. THE68	758782	S	1	0	1	0.00000
Burkholderia sp. BDU8	1385592	S	3	0	3	0.00000
Burkholderia mallei	13373	S	2	4	6	0.00000
Burkholderia pseudomallei	28450	S	2	2	4	0.00000
Burkholderia oklahomensis	342113	S	1	0	1	0.00000
Burkholderia gladioli	28095	S	5	0	5	0.00000
Burkholderia plantarii	41899	S	5	0	5	0.00000
Burkholderia glumae	337	S	4	0	4	0.00000
Polynucleobacter necessarius	576610	S	35	2	37	0.00000
Polynucleobacter duraquae	1835254	S	17	1	18	0.00000
Polynucleobacter asymbioticus	576611	S	15	2	17	0.00000
Polynucleobacter sp. LimPoW16	1743162	S	4	0	4	0.00000
Polynucleobacter sp. MWH-UH21B	1743174	S	3	0	3	0.00000
Polynucleobacter difficilis	556054	S	3	0	3	0.00000
Polynucleobacter paneuropaeus	2527775	S	2	0	2	0.00000
Polynucleobacter wuianus	1743168	S	1	0	1	0.00000
Paraburkholderia sp. SOS3	1926494	S	18	0	18	0.00000
Paraburkholderia sp. 7MH5	2547399	S	3	0	3	0.00000
Paraburkholderia acidiphila	2571747	S	4	0	4	0.00000
Paraburkholderia phymatum	148447	S	3	1	4	0.00000
Paraburkholderia atlantica	2654982	S	2	0	2	0.00000
Paraburkholderia tropica	92647	S	2	0	2	0.00000
Paraburkholderia fungorum	134537	S	2	0	2	0.00000
Paraburkholderia aromaticivorans	2026199	S	2	0	2	0.00000
Paraburkholderia phenoliruptrix	252970	S	2	1	3	0.00000
Paraburkholderia ginsengisoli	311231	S	2	0	2	0.00000
Paraburkholderia acidophila	265293	S	1	0	1	0.00000
Paraburkholderia dokdonella	2211211	S	1	0	1	0.00000
Paraburkholderia caffeinilytica	1761016	S	1	0	1	0.00000
Paraburkholderia sprentiae	948107	S	1	0	1	0.00000
Paraburkholderia megapolitana	420953	S	1	0	1	0.00000
Paraburkholderia xenovorans	36873	S	1	1	2	0.00000
Cupriavidus taiwanensis	164546	S	10	10	20	0.00000
Cupriavidus necator	106590	S	5	1	6	0.00000
Cupriavidus pauculus	82633	S	3	0	3	0.00000
Cupriavidus metallidurans	119219	S	3	1	4	0.00000
Cupriavidus pinatubonensis	248026	S	3	1	4	0.00000
Cupriavidus oxalaticus	96344	S	2	0	2	0.00000
Cupriavidus basilensis	68895	S	1	0	1	0.00000
Cupriavidus gilardii	82541	S	1	5	6	0.00000
Pandoraea vervacti	656178	S	6	0	6	0.00000
Pandoraea sputorum	93222	S	5	0	5	0.00000
Pandoraea apista	93218	S	3	0	3	0.00000
Pandoraea pnomenusa	93220	S	2	0	2	0.00000
Pandoraea oxalativorans	573737	S	2	0	2	0.00000
Pandoraea faecigallinarum	656179	S	2	0	2	0.00000
Pandoraea thiooxydans	445709	S	1	0	1	0.00000
Pandoraea fibrosis	1891094	S	1	0	1	0.00000
Caballeronia sp. M1242	2814653	S	1	4	5	0.00000
Caballeronia insecticola	758793	S	1	0	1	0.00000
Lautropia mirabilis	47671	S	3	0	3	0.00000
Ephemeroptericola cinctiostellae	2268024	S	2	0	2	0.00000
Limnobacter sp. SAORIC-580	2732163	S	1	0	1	0.00000
Chitinimonas arctica	2594795	S	1	0	1	0.00000
