name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	86555134	18053	86573187	0.99914
Acidovorax sp. 1608163	2478662	S	136	18	154	0.00000
Acidovorax sp. KKS102	358220	S	134	58	192	0.00000
Acidovorax sp. JMULE5	2518343	S	100	17	117	0.00000
Acidovorax sp. T1	1858609	S	88	187	275	0.00000
Acidovorax sp. RAC01	1842533	S	73	27	100	0.00000
Acidovorax sp. HDW3	2714923	S	52	12	64	0.00000
Acidovorax sp. JS42	232721	S	11	219	230	0.00000
Acidovorax carolinensis	553814	S	143	96	239	0.00000
Acidovorax avenae	80867	S	91	47	138	0.00000
Acidovorax monticola	1926868	S	61	13	74	0.00000
Acidovorax antarcticus	2743470	S	61	23	84	0.00000
Acidovorax citrulli	80869	S	20	18	38	0.00000
Acidovorax cattleyae	80868	S	19	12	31	0.00000
Acidovorax ebreus	721785	S	6	68	74	0.00000
Rhodoferax sp. AJA081-3	2752316	S	134	11	145	0.00000
Rhodoferax sp. BAB1	2741720	S	84	17	101	0.00000
Rhodoferax sp. PAMC29310	2822760	S	73	11	84	0.00000
Rhodoferax sediminis	2509614	S	180	19	199	0.00000
Rhodoferax saidenbachensis	1484693	S	156	18	174	0.00000
Rhodoferax ferrireducens	192843	S	97	6	103	0.00000
Rhodoferax koreense	1842727	S	74	33	107	0.00000
Rhodoferax antarcticus	81479	S	72	5	77	0.00000
Variovorax sp. WDL1	207745	S	53	58	111	0.00000
Variovorax sp. PAMC 28711	1795631	S	53	4	57	0.00000
Variovorax sp. HW608	1034889	S	52	4	56	0.00000
Variovorax sp. PAMC28562	2762323	S	40	1	41	0.00000
Variovorax sp. RKNM96	2681552	S	38	13	51	0.00000
Variovorax sp. PAMC26660	2762322	S	32	5	37	0.00000
Variovorax sp. PBS-H4	434008	S	25	10	35	0.00000
Variovorax sp. PBL-H6	434009	S	23	32	55	0.00000
Variovorax sp. RA8	662548	S	22	14	36	0.00000
Variovorax sp. SRS16	282217	S	17	43	60	0.00000
Variovorax sp. 38R	2774875	S	13	15	28	0.00000
Variovorax sp. PBL-E5	434014	S	12	38	50	0.00000
Variovorax sp. PMC12	2126319	S	1	62	63	0.00000
Variovorax paradoxus	34073	S	215	76	291	0.00000
Variovorax boronicumulans	436515	S	28	24	52	0.00000
Hydrogenophaga sp. PBL-H3	434010	S	78	59	137	0.00000
Hydrogenophaga sp. RAC07	1842537	S	64	18	82	0.00000
Hydrogenophaga sp. BPS33	2651974	S	60	25	85	0.00000
Hydrogenophaga sp. PAMC20947	2565558	S	52	1	53	0.00000
Hydrogenophaga sp. BA0156	2716225	S	38	16	54	0.00000
Hydrogenophaga sp. PBC	795665	S	34	16	50	0.00000
Hydrogenophaga sp. YM1	2806262	S	34	11	45	0.00000
Hydrogenophaga sp. NH-16	2184519	S	30	42	72	0.00000
Hydrogenophaga crassostreae	1763535	S	52	1	53	0.00000
Hydrogenophaga pseudoflava	47421	S	28	27	55	0.00000
Limnohabitans sp. 103DPR2	1678129	S	240	15	255	0.00000
Limnohabitans sp. 63ED37-2	1678128	S	216	18	234	0.00000
Comamonas testosteroni	285	S	91	91	182	0.00000
Comamonas aquatica	225991	S	63	18	81	0.00000
Comamonas kerstersii	225992	S	58	13	71	0.00000
Comamonas koreensis	160825	S	57	9	66	0.00000
Comamonas piscis	1562974	S	37	4	41	0.00000
Comamonas sp. NLF-7-7	2597701	S	35	11	46	0.00000
Comamonas serinivorans	1082851	S	32	4	36	0.00000
Comamonas thiooxydans	363952	S	18	18	36	0.00000
Polaromonas sp. JS666	296591	S	97	6	103	0.00000
Polaromonas sp. H6N	1840293	S	3	0	3	0.00000
Polaromonas sp. E5S	1840267	S	1	89	90	0.00000
Polaromonas sp. W11N	1840303	S	1	0	1	0.00000
Polaromonas naphthalenivorans	216465	S	185	20	205	0.00000
Polaromonas vacuolata	37448	S	46	7	53	0.00000
Curvibacter sp. AEP1-3	1844971	S	219	9	228	0.00000
Diaphorobacter sp. HDW4A	2714924	S	44	26	70	0.00000
Diaphorobacter sp. HDW4B	2714925	S	41	2	43	0.00000
Diaphorobacter sp. JS3051	2792224	S	9	172	181	0.00000
Diaphorobacter sp. JS3050	2735554	S	5	101	106	0.00000
Diaphorobacter aerolatus	1288495	S	43	43	86	0.00000
Diaphorobacter ruginosibacter	1715720	S	28	2	30	0.00000
Diaphorobacter polyhydroxybutyrativorans	1546149	S	8	59	67	0.00000
